
=== START 2026-03-07 23:20:32 ===
CMD: /home/codespace/.python/current/bin/python3 /workspaces/Kalshi_alg/V1.py --ticker KXNBASPREAD-26MAR07BKNDET-DET11 --yes-budget-cents 200 --no-budget-cents 200
23:20:33 INFO START | environment=PROD ticker=KXNBASPREAD-26MAR07BKNDET-DET11 yes_budget_cents=200 no_budget_cents=200 price_structure=linear_cent fractional_trading=False dry_run=False websocket=wss://api.elections.kalshi.com/trade-api/ws/v2
23:21:53 INFO AMEND_OK | side=no price_dollars=0.3200 total_fillable_contracts=6.00 order_id=a2a157f8-cd0f-4612-a98a-4fa53c3b9a10
23:21:54 INFO AMEND_OK | side=no price_dollars=0.3300 total_fillable_contracts=5.00 order_id=a2a157f8-cd0f-4612-a98a-4fa53c3b9a10
23:21:57 INFO AMEND_OK | side=no price_dollars=0.3400 total_fillable_contracts=5.00 order_id=a2a157f8-cd0f-4612-a98a-4fa53c3b9a10
23:21:57 INFO AMEND_OK | side=no price_dollars=0.3300 total_fillable_contracts=5.00 order_id=a2a157f8-cd0f-4612-a98a-4fa53c3b9a10
23:22:01 INFO AMEND_OK | side=yes price_dollars=0.5500 total_fillable_contracts=3.00 order_id=ad8ecf29-2a97-4000-b044-5fa281dfd263
23:22:03 INFO AMEND_OK | side=no price_dollars=0.3400 total_fillable_contracts=5.00 order_id=a2a157f8-cd0f-4612-a98a-4fa53c3b9a10
23:22:04 INFO QUEUE_POSITION | side=yes order_id=ad8ecf29-2a97-4000-b044-5fa281dfd263 ahead_contracts=44.00
23:22:04 INFO QUEUE_POSITION | side=no order_id=a2a157f8-cd0f-4612-a98a-4fa53c3b9a10 ahead_contracts=3529.00
23:22:05 INFO AMEND_OK | side=no price_dollars=0.3500 total_fillable_contracts=5.00 order_id=a2a157f8-cd0f-4612-a98a-4fa53c3b9a10
23:22:14 INFO AMEND_OK | side=yes price_dollars=0.5700 total_fillable_contracts=3.00 order_id=ad8ecf29-2a97-4000-b044-5fa281dfd263
23:22:15 INFO AMEND_OK | side=no price_dollars=0.3600 total_fillable_contracts=5.00 order_id=a2a157f8-cd0f-4612-a98a-4fa53c3b9a10
23:22:15 INFO AMEND_OK | side=no price_dollars=0.3700 total_fillable_contracts=5.00 order_id=a2a157f8-cd0f-4612-a98a-4fa53c3b9a10
23:22:15 INFO AMEND_OK | side=no price_dollars=0.3800 total_fillable_contracts=5.00 order_id=a2a157f8-cd0f-4612-a98a-4fa53c3b9a10
23:22:15 INFO AMEND_OK | side=no price_dollars=0.3700 total_fillable_contracts=5.00 order_id=a2a157f8-cd0f-4612-a98a-4fa53c3b9a10
23:22:15 INFO AMEND_OK | side=yes price_dollars=0.5600 total_fillable_contracts=3.00 order_id=ad8ecf29-2a97-4000-b044-5fa281dfd263
23:22:15 INFO AMEND_OK | side=no price_dollars=0.3800 total_fillable_contracts=5.00 order_id=a2a157f8-cd0f-4612-a98a-4fa53c3b9a10
23:22:16 INFO AMEND_OK | side=no price_dollars=0.3900 total_fillable_contracts=5.00 order_id=a2a157f8-cd0f-4612-a98a-4fa53c3b9a10
23:22:16 INFO AMEND_OK | side=no price_dollars=0.3500 total_fillable_contracts=5.00 order_id=a2a157f8-cd0f-4612-a98a-4fa53c3b9a10
23:22:16 INFO AMEND_OK | side=no price_dollars=0.3700 total_fillable_contracts=5.00 order_id=a2a157f8-cd0f-4612-a98a-4fa53c3b9a10
23:22:16 INFO AMEND_OK | side=no price_dollars=0.3800 total_fillable_contracts=5.00 order_id=a2a157f8-cd0f-4612-a98a-4fa53c3b9a10
23:22:16 INFO AMEND_OK | side=no price_dollars=0.3900 total_fillable_contracts=5.00 order_id=a2a157f8-cd0f-4612-a98a-4fa53c3b9a10
23:22:17 INFO AMEND_OK | side=no price_dollars=0.3500 total_fillable_contracts=5.00 order_id=a2a157f8-cd0f-4612-a98a-4fa53c3b9a10
23:22:17 INFO AMEND_OK | side=no price_dollars=0.3700 total_fillable_contracts=5.00 order_id=a2a157f8-cd0f-4612-a98a-4fa53c3b9a10
23:22:17 INFO AMEND_OK | side=no price_dollars=0.3800 total_fillable_contracts=5.00 order_id=a2a157f8-cd0f-4612-a98a-4fa53c3b9a10
23:22:18 INFO AMEND_OK | side=no price_dollars=0.3900 total_fillable_contracts=5.00 order_id=a2a157f8-cd0f-4612-a98a-4fa53c3b9a10
23:22:19 INFO AMEND_OK | side=no price_dollars=0.3800 total_fillable_contracts=5.00 order_id=a2a157f8-cd0f-4612-a98a-4fa53c3b9a10
23:22:19 INFO QUEUE_POSITION | side=yes order_id=ad8ecf29-2a97-4000-b044-5fa281dfd263 ahead_contracts=0.00
23:22:19 INFO QUEUE_POSITION | side=no order_id=a2a157f8-cd0f-4612-a98a-4fa53c3b9a10 ahead_contracts=0.00
23:22:19 INFO AMEND_OK | side=no price_dollars=0.3900 total_fillable_contracts=5.00 order_id=a2a157f8-cd0f-4612-a98a-4fa53c3b9a10
23:22:19 INFO AMEND_OK | side=no price_dollars=0.3400 total_fillable_contracts=5.00 order_id=a2a157f8-cd0f-4612-a98a-4fa53c3b9a10
23:22:19 INFO AMEND_OK | side=no price_dollars=0.3600 total_fillable_contracts=5.00 order_id=a2a157f8-cd0f-4612-a98a-4fa53c3b9a10
23:22:20 INFO AMEND_OK | side=no price_dollars=0.3800 total_fillable_contracts=5.00 order_id=a2a157f8-cd0f-4612-a98a-4fa53c3b9a10
23:22:20 INFO AMEND_OK | side=no price_dollars=0.3900 total_fillable_contracts=5.00 order_id=a2a157f8-cd0f-4612-a98a-4fa53c3b9a10
23:22:22 INFO AMEND_OK | side=yes price_dollars=0.5700 total_fillable_contracts=3.00 order_id=ad8ecf29-2a97-4000-b044-5fa281dfd263
23:22:24 INFO CANCEL_REQUESTED | side=yes reason=refresh_expiring_quote order_id=ad8ecf29-2a97-4000-b044-5fa281dfd263
23:22:24 INFO ORDER_NOT_RESTING | side=yes status=canceled order_id=ad8ecf29-2a97-4000-b044-5fa281dfd263
23:22:24 INFO CREATE_OK | side=yes price_dollars=0.5700 remaining_contracts=3.00 order_id=0d77c036-da61-42cd-9f5a-0969c273456e
23:22:24 INFO CANCEL_REQUESTED | side=no reason=refresh_expiring_quote order_id=a2a157f8-cd0f-4612-a98a-4fa53c3b9a10
23:22:24 INFO ORDER_NOT_RESTING | side=no status=canceled order_id=a2a157f8-cd0f-4612-a98a-4fa53c3b9a10
23:22:24 INFO CREATE_OK | side=no price_dollars=0.3900 remaining_contracts=5.00 order_id=d4e36303-2fd5-40ce-885f-8e5362b52493
23:22:32 INFO AMEND_OK | side=yes price_dollars=0.5600 total_fillable_contracts=3.00 order_id=0d77c036-da61-42cd-9f5a-0969c273456e
23:22:34 INFO QUEUE_POSITION | side=yes order_id=0d77c036-da61-42cd-9f5a-0969c273456e ahead_contracts=1024.00
23:22:34 INFO QUEUE_POSITION | side=no order_id=d4e36303-2fd5-40ce-885f-8e5362b52493 ahead_contracts=0.00
23:22:36 INFO AMEND_OK | side=no price_dollars=0.3800 total_fillable_contracts=5.00 order_id=d4e36303-2fd5-40ce-885f-8e5362b52493
23:22:36 INFO AMEND_OK | side=no price_dollars=0.3900 total_fillable_contracts=5.00 order_id=d4e36303-2fd5-40ce-885f-8e5362b52493
23:22:49 INFO QUEUE_POSITION | side=yes order_id=0d77c036-da61-42cd-9f5a-0969c273456e ahead_contracts=0.00
23:22:49 INFO QUEUE_POSITION | side=no order_id=d4e36303-2fd5-40ce-885f-8e5362b52493 ahead_contracts=904.00
23:22:57 INFO AMEND_OK | side=no price_dollars=0.3600 total_fillable_contracts=5.00 order_id=d4e36303-2fd5-40ce-885f-8e5362b52493
23:22:57 INFO AMEND_OK | side=no price_dollars=0.3800 total_fillable_contracts=5.00 order_id=d4e36303-2fd5-40ce-885f-8e5362b52493
23:22:58 INFO AMEND_OK | side=no price_dollars=0.3400 total_fillable_contracts=5.00 order_id=d4e36303-2fd5-40ce-885f-8e5362b52493
23:22:58 INFO AMEND_OK | side=no price_dollars=0.3600 total_fillable_contracts=5.00 order_id=d4e36303-2fd5-40ce-885f-8e5362b52493
23:22:58 INFO AMEND_OK | side=no price_dollars=0.3700 total_fillable_contracts=5.00 order_id=d4e36303-2fd5-40ce-885f-8e5362b52493
23:22:59 INFO AMEND_OK | side=no price_dollars=0.3800 total_fillable_contracts=5.00 order_id=d4e36303-2fd5-40ce-885f-8e5362b52493
23:23:02 INFO AMEND_OK | side=no price_dollars=0.3400 total_fillable_contracts=5.00 order_id=d4e36303-2fd5-40ce-885f-8e5362b52493
23:23:02 INFO AMEND_OK | side=no price_dollars=0.3500 total_fillable_contracts=5.00 order_id=d4e36303-2fd5-40ce-885f-8e5362b52493
23:23:02 INFO AMEND_OK | side=no price_dollars=0.3700 total_fillable_contracts=5.00 order_id=d4e36303-2fd5-40ce-885f-8e5362b52493
23:23:02 INFO AMEND_OK | side=no price_dollars=0.3900 total_fillable_contracts=5.00 order_id=d4e36303-2fd5-40ce-885f-8e5362b52493
23:23:02 INFO AMEND_OK | side=no price_dollars=0.3800 total_fillable_contracts=5.00 order_id=d4e36303-2fd5-40ce-885f-8e5362b52493
23:23:02 INFO AMEND_OK | side=no price_dollars=0.3500 total_fillable_contracts=5.00 order_id=d4e36303-2fd5-40ce-885f-8e5362b52493
23:23:03 INFO AMEND_OK | side=no price_dollars=0.3600 total_fillable_contracts=5.00 order_id=d4e36303-2fd5-40ce-885f-8e5362b52493
23:23:03 INFO AMEND_OK | side=no price_dollars=0.3700 total_fillable_contracts=5.00 order_id=d4e36303-2fd5-40ce-885f-8e5362b52493
23:23:03 INFO AMEND_OK | side=no price_dollars=0.3900 total_fillable_contracts=5.00 order_id=d4e36303-2fd5-40ce-885f-8e5362b52493
23:23:04 INFO QUEUE_POSITION | side=yes order_id=0d77c036-da61-42cd-9f5a-0969c273456e ahead_contracts=0.00
23:23:04 INFO QUEUE_POSITION | side=no order_id=d4e36303-2fd5-40ce-885f-8e5362b52493 ahead_contracts=901.00
23:23:05 INFO AMEND_OK | side=yes price_dollars=0.5700 total_fillable_contracts=3.00 order_id=0d77c036-da61-42cd-9f5a-0969c273456e
23:23:19 INFO CANCEL_REQUESTED | side=yes reason=refresh_expiring_quote order_id=0d77c036-da61-42cd-9f5a-0969c273456e
23:23:19 INFO ORDER_NOT_RESTING | side=yes status=canceled order_id=0d77c036-da61-42cd-9f5a-0969c273456e
23:23:19 INFO CREATE_OK | side=yes price_dollars=0.5700 remaining_contracts=3.00 order_id=0db02f4a-8eee-4b66-b5d8-eaea9b4f8fc0
23:23:19 INFO CANCEL_REQUESTED | side=no reason=refresh_expiring_quote order_id=d4e36303-2fd5-40ce-885f-8e5362b52493
23:23:19 INFO ORDER_NOT_RESTING | side=no status=canceled order_id=d4e36303-2fd5-40ce-885f-8e5362b52493
23:23:19 INFO CREATE_OK | side=no price_dollars=0.3900 remaining_contracts=5.00 order_id=e9c8bf26-db42-4f62-bb26-4444c7794945
23:23:19 INFO QUEUE_POSITION | side=yes order_id=0db02f4a-8eee-4b66-b5d8-eaea9b4f8fc0 ahead_contracts=3.00
23:23:19 INFO QUEUE_POSITION | side=no order_id=e9c8bf26-db42-4f62-bb26-4444c7794945 ahead_contracts=874.00
23:23:22 INFO AMEND_OK | side=no price_dollars=0.3800 total_fillable_contracts=5.00 order_id=e9c8bf26-db42-4f62-bb26-4444c7794945
23:23:22 INFO AMEND_OK | side=no price_dollars=0.3900 total_fillable_contracts=5.00 order_id=e9c8bf26-db42-4f62-bb26-4444c7794945
