
=== START 2026-03-09 23:56:19 ===
CMD: /home/codespace/.python/current/bin/python3 /workspaces/Kalshi_alg/V1.py --ticker KXNHLTOTAL-26MAR09NYRPHI-6 --yes-budget-cents 500 --no-budget-cents 500
23:56:19 INFO START | environment=PROD ticker=KXNHLTOTAL-26MAR09NYRPHI-6 yes_budget_cents=500 no_budget_cents=500 price_structure=linear_cent fractional_trading=False dry_run=False websocket=wss://api.elections.kalshi.com/trade-api/ws/v2
23:59:35 INFO QUEUE_POSITION | side=yes order_id=54c1a9c6-c1fb-4e3c-b127-53bd713e2310 ahead_contracts=4125.00
23:59:35 INFO QUEUE_POSITION | side=no order_id=fbf724b5-2d69-4ed4-ac34-068f5470d6a1 ahead_contracts=4062.00
23:59:50 INFO QUEUE_POSITION | side=yes order_id=54c1a9c6-c1fb-4e3c-b127-53bd713e2310 ahead_contracts=4125.00
23:59:50 INFO QUEUE_POSITION | side=no order_id=fbf724b5-2d69-4ed4-ac34-068f5470d6a1 ahead_contracts=4062.00
23:59:58 INFO AMEND_OK | side=yes price_dollars=0.5200 total_fillable_contracts=9.00 order_id=54c1a9c6-c1fb-4e3c-b127-53bd713e2310
23:59:59 INFO AMEND_OK | side=yes price_dollars=0.5300 total_fillable_contracts=9.00 order_id=54c1a9c6-c1fb-4e3c-b127-53bd713e2310
00:00:04 INFO AMEND_OK | side=no price_dollars=0.3900 total_fillable_contracts=12.00 order_id=fbf724b5-2d69-4ed4-ac34-068f5470d6a1
00:00:05 INFO QUEUE_POSITION | side=yes order_id=54c1a9c6-c1fb-4e3c-b127-53bd713e2310 ahead_contracts=4125.00
00:00:05 INFO QUEUE_POSITION | side=no order_id=fbf724b5-2d69-4ed4-ac34-068f5470d6a1 ahead_contracts=0.00
00:00:06 INFO AMEND_OK | side=no price_dollars=0.4000 total_fillable_contracts=12.00 order_id=fbf724b5-2d69-4ed4-ac34-068f5470d6a1
00:00:17 INFO CANCEL_REQUESTED | side=yes reason=refresh_expiring_quote order_id=54c1a9c6-c1fb-4e3c-b127-53bd713e2310
00:00:17 INFO ORDER_NOT_RESTING | side=yes status=canceled order_id=54c1a9c6-c1fb-4e3c-b127-53bd713e2310
00:00:17 INFO CREATE_OK | side=yes price_dollars=0.5300 remaining_contracts=9.00 order_id=58aa1242-e952-408d-976c-66e1e85d3fc1
00:00:17 INFO CANCEL_REQUESTED | side=no reason=refresh_expiring_quote order_id=fbf724b5-2d69-4ed4-ac34-068f5470d6a1
00:00:17 INFO ORDER_NOT_RESTING | side=no status=canceled order_id=fbf724b5-2d69-4ed4-ac34-068f5470d6a1
00:00:17 INFO CREATE_OK | side=no price_dollars=0.4000 remaining_contracts=12.00 order_id=a22316e0-778c-4f62-b8da-eecfba45d0ac
00:00:20 INFO QUEUE_POSITION | side=yes order_id=58aa1242-e952-408d-976c-66e1e85d3fc1 ahead_contracts=4125.00
00:00:20 INFO AMEND_OK | side=no price_dollars=0.3900 total_fillable_contracts=12.00 order_id=a22316e0-778c-4f62-b8da-eecfba45d0ac
00:00:20 INFO QUEUE_POSITION | side=no order_id=a22316e0-778c-4f62-b8da-eecfba45d0ac ahead_contracts=4062.00
00:00:21 INFO AMEND_OK | side=no price_dollars=0.4000 total_fillable_contracts=12.00 order_id=a22316e0-778c-4f62-b8da-eecfba45d0ac
